,Value
8055,8/3
8056,94/300
8057,937/7
8058,8/5
8059,92/466
8060,94/276
8061,620/8
8062,8/92
8063,294/169
8064,50/1
8065,690/1
8066,5/7
8067,3/90
8068,6/7
8069,342/61
8070,60/57
8071,291/8
8072,2/7
8073,1/9
8074,96/749
8075,888/21
8076,46/87
8077,296/30
8078,696/15
8079,4/9
8080,5/2
8081,1/49
8082,442/972
8083,7/82
8084,614/216
8085,8/625
8086,53/77
8087,47/6
8088,29/22
8089,84/59
8090,43/953
8091,758/59
8092,77/88
8093,231/906
8094,357/693
8095,90/67
8096,97/3
8097,98/992
8098,33/645
8099,761/12
8100,595/174
8101,7/74
8102,51/41
8103,557/7
8104,2/9
8105,877/38
8106,7/234
8107,95/646
8108,7/933
8109,986/282
8110,464/8
8111,974/5
8112,798/16
8113,6/84
8114,4/6
8115,432/99
8116,469/64
8117,5/6
8118,8/921
8119,254/327
8120,33/703
8121,1/758
8122,1/640
8123,5/88
8124,1/18
8125,527/20
8126,56/82
8127,926/14
8128,62/820
8129,74/155
8130,9/9
8131,83/4
8132,12/3
8133,72/825
8134,20/463
8135,763/576
8136,9/2
8137,1/5
8138,720/6
8139,63/92
8140,895/6
8141,51/324
8142,7/93
8143,838/9
8144,4/5
8145,336/534
8146,4/2
8147,3/454
8148,76/38
8149,485/560
8150,78/820
8151,27/232
8152,3/3
8153,98/748
8154,51/279
8155,41/32
8156,625/729
8157,40/9
8158,70/3
8159,22/3
8160,756/62
8161,226/1
8162,5/63
8163,200/66
8164,49/159
8165,75/53
8166,656/20
8167,52/86
8168,5/965
8169,6/10
8170,6/3
8171,38/907
8172,45/58
8173,307/88
8174,6/3
8175,146/718
8176,31/818
8177,835/59
8178,669/979
8179,9/403
8180,59/64
8181,97/669
8182,4/502
8183,8/5
8184,58/962
8185,444/5
8186,716/6
8187,52/78
8188,72/67
8189,6/9
8190,266/4
8191,98/281
8192,6/46
8193,419/34
8194,3/8
8195,17/393
8196,583/47
8197,2/80
8198,7/566
8199,925/1
8200,24/8
8201,267/820
8202,26/7
8203,2/67
8204,57/982
8205,1/67
8206,88/6
8207,3/575
8208,872/84
8209,63/8
8210,173/145
8211,381/51
8212,6/38
8213,4/8
8214,7/8
8215,5/99
8216,68/99
8217,939/3
8218,6/629
8219,7/4
8220,63/20
8221,972/77
8222,323/3
8223,4/35
8224,899/624
8225,24/290
8226,590/379
8227,96/8
8228,67/77
8229,1/68
8230,93/787
8231,5/5
8232,339/79
8233,8/241
8234,326/63
8235,55/900
8236,52/14
8237,509/17
8238,665/643
8239,3/861
8240,6/57
8241,596/4
8242,8/9
8243,8/8
8244,573/609
8245,15/445
8246,181/20
8247,2/939
8248,74/8
8249,9/379
8250,235/8
8251,907/4
8252,17/71
8253,7/51
8254,90/8
8255,4/8
8256,71/788
8257,4/493
8258,8/5
8259,2/75
8260,965/840
8261,78/3
8262,6/77
8263,8/391
8264,515/21
8265,292/7
8266,19/70
8267,23/164
8268,2/6
8269,1/854
8270,9/22
8271,84/68
8272,922/70
8273,392/9
8274,1/5
8275,4/11
8276,36/824
8277,5/431
8278,44/9
8279,2/40
8280,716/859
8281,76/6
8282,1/511
8283,2/17
8284,3/358
8285,4/584
8286,547/95
8287,87/52
8288,7/7
8289,360/7
8290,497/7
8291,4/2
8292,42/32
8293,99/64
8294,884/5
8295,256/8
8296,86/1
8297,127/915
8298,5/428
8299,4/4
8300,52/1
8301,795/81
8302,440/30
8303,31/632
8304,79/29
8305,7/3
8306,86/3
8307,9/6
8308,7/1
8309,48/26
8310,13/2
8311,720/1
8312,990/557
8313,953/75
8314,729/69
8315,565/43
8316,74/625
8317,81/918
8318,496/1
8319,1/712
8320,676/9
8321,91/19
8322,214/28
8323,5/3
8324,471/4
8325,97/4
8326,5/992
8327,993/3
8328,602/8
8329,17/546
8330,23/9
8331,676/65
8332,886/4
8333,7/3
8334,45/80
8335,55/8
8336,41/155
8337,682/208
8338,423/82
8339,145/546
8340,5/37
8341,1/6
8342,24/18
8343,7/661
8344,98/1
8345,509/9
8346,72/2
8347,8/8
8348,591/98
8349,450/75
8350,3/4
8351,4/6
8352,99/14
8353,55/1
8354,1/631
8355,351/474
8356,12/4
8357,8/11
8358,18/8
8359,634/13
8360,2/305
8361,571/2
8362,52/58
8363,8/186
8364,54/24
8365,23/2
8366,38/518
8367,6/7
8368,491/2
8369,7/37
8370,579/9
8371,834/816
8372,774/7
8373,6/379
8374,65/553
8375,78/776
8376,3/8
8377,125/10
8378,599/499
8379,878/694
8380,34/4
8381,83/718
8382,421/71
8383,35/15
8384,82/31
8385,2/76
8386,63/1
8387,7/8
8388,88/35
8389,3/88
8390,2/77
8391,858/4
8392,72/7
8393,1/674
8394,529/2
8395,17/8
8396,4/457
8397,67/722
8398,77/6
8399,7/4
8400,648/1
8401,54/543
8402,678/94
8403,839/1
8404,552/705
8405,7/929
8406,405/6
8407,37/269
8408,6/57
8409,76/608
8410,19/28
8411,781/7
8412,40/37
8413,46/19
8414,855/91
8415,975/2
8416,489/4
8417,121/1
8418,2/975
8419,223/50
8420,52/3
8421,28/73
8422,7/2
8423,1/355
8424,94/62
8425,52/42
8426,75/19
8427,86/381
8428,4/750
8429,950/65
8430,4/1
8431,8/675
8432,6/8
8433,5/90
8434,8/604
8435,68/1
8436,62/50
8437,6/59
8438,666/3
8439,766/94
8440,1/23
8441,25/15
8442,46/199
8443,1/17
8444,896/73
8445,95/642
8446,7/7
8447,911/9
8448,6/87
8449,8/1
8450,6/18
8451,150/82
8452,6/7
8453,13/84
8454,49/729
8455,35/463
8456,92/113
8457,890/120
8458,7/674
8459,38/38
8460,674/9
8461,3/928
8462,660/217
8463,386/3
8464,88/1
8465,246/46
8466,406/62
8467,864/8
8468,386/2
8469,733/430
8470,52/758
8471,1/37
8472,92/92
8473,15/44
8474,535/7
8475,7/8
8476,6/56
8477,13/68
8478,88/368
8479,899/75
8480,919/842
8481,562/4
8482,71/37
8483,8/5
8484,693/898
8485,9/30
8486,20/7
8487,773/5
8488,471/45
8489,32/54
8490,816/3
8491,1/93
8492,14/41
8493,8/82
8494,82/616
8495,4/14
8496,759/2
8497,92/13
8498,583/70
8499,880/877
8500,30/66
8501,593/1
8502,67/726
8503,1/6
8504,549/57
8505,148/57
8506,75/83
8507,188/237
8508,6/10
8509,7/171
8510,2/238
8511,8/925
8512,7/3
8513,57/853
8514,9/88
8515,348/493
8516,35/1
8517,6/46
8518,8/797
8519,28/175
8520,637/76
8521,1/56
8522,8/18
8523,31/621
8524,58/6
8525,439/64
8526,281/83
8527,2/164
8528,84/64
8529,365/86
8530,845/3
8531,3/5
8532,898/12
8533,97/24
8534,66/21
8535,65/17
8536,628/589
8537,78/1
8538,22/529
8539,81/67
8540,2/568
8541,9/415
8542,5/6
8543,192/3
8544,2/630
8545,13/22
8546,691/77
8547,8/773
8548,823/61
8549,723/86
8550,862/38
8551,20/13
8552,4/205
8553,82/3
8554,657/51
8555,57/46
8556,2/5
8557,234/918
8558,494/39
8559,681/283
8560,746/754
8561,5/5
8562,448/96
8563,781/950
8564,23/71
8565,84/24
8566,280/733
8567,199/359
8568,99/101
8569,7/7
8570,6/729
8571,4/906
8572,421/97
8573,17/965
8574,285/2
8575,231/26
8576,775/20
8577,9/13
8578,75/586
8579,829/466
8580,81/351
8581,4/7
8582,24/35
8583,4/43
8584,5/72
8585,62/30
8586,5/4
8587,59/604
8588,442/90
8589,42/16
8590,67/44
8591,80/83
8592,432/10
8593,848/29
8594,521/4
8595,87/3
8596,5/70
8597,605/758
8598,73/158
8599,7/2
8600,6/2
8601,54/68
8602,55/35
8603,8/2
8604,645/225
8605,431/742
8606,8/82
8607,28/30
8608,5/650
8609,58/52
8610,973/24
8611,2/477
8612,68/4
8613,619/730
8614,2/494
8615,44/3
8616,16/82
8617,9/5
8618,6/271
8619,14/8
8620,4/91
8621,33/4
8622,27/491
8623,70/5
8624,821/56
8625,3/718
8626,8/6
8627,899/2
8628,88/73
8629,83/8
8630,1/9
8631,3/96
8632,45/58
8633,1/7
8634,47/934
8635,953/47
8636,35/10
8637,7/19
8638,89/976
8639,79/440
8640,34/13
8641,6/35
8642,7/30
8643,9/7
8644,223/3
8645,541/829
8646,323/77
8647,8/31
8648,47/727
8649,1/10
8650,477/31
8651,869/2
8652,1/49
8653,76/5
8654,650/295
8655,6/9
8656,21/9
8657,33/3
8658,65/6
8659,5/82
8660,4/213
8661,94/972
8662,796/435
8663,7/77
8664,33/9
8665,89/313
8666,4/408
8667,764/839
8668,5/4
8669,866/795
8670,57/1
8671,629/56
8672,3/6
8673,6/73
8674,3/89
8675,2/1
8676,8/8
8677,7/18
8678,70/97
8679,9/850
8680,1/396
8681,2/7
8682,96/22
8683,45/740
8684,7/593
8685,723/814
8686,610/2
8687,6/767
8688,3/7
8689,4/61
8690,34/4
8691,700/6
8692,74/96
8693,4/4
8694,684/373
8695,6/5
8696,638/2
8697,90/866
8698,77/418
8699,79/8
8700,12/44
8701,329/35
8702,9/57
8703,10/1
8704,4/313
8705,20/2
8706,826/6
8707,5/85
8708,57/7
8709,9/4
8710,7/3
8711,126/6
8712,280/315
8713,20/6
8714,3/793
8715,686/499
8716,96/5
8717,42/93
8718,73/5
8719,64/68
8720,355/297
8721,394/4
8722,8/850
8723,20/96
8724,5/6
8725,5/19
8726,459/278
8727,683/51
8728,197/91
8729,2/8
8730,4/8
8731,29/84
8732,8/783
8733,58/1
8734,6/248
8735,4/4
8736,268/91
8737,571/4
8738,1/5
8739,99/542
8740,72/981
8741,817/177
8742,8/36
8743,61/4
8744,28/74
8745,5/30
8746,30/1
8747,83/52
8748,8/28
8749,9/59
8750,5/94
8751,5/35
8752,54/2
8753,503/92
8754,903/466
8755,541/302
8756,401/53
8757,13/432
8758,678/29
8759,9/33
8760,218/5
8761,8/2
8762,3/1
8763,57/31
8764,29/899
8765,5/1
8766,368/7
8767,45/85
8768,478/6
8769,7/157
8770,229/4
8771,4/101
8772,21/390
8773,5/9
8774,308/30
8775,725/3
8776,8/828
8777,4/709
8778,6/82
8779,341/823
8780,7/80
8781,61/34
8782,132/4
8783,5/94
8784,8/897
8785,9/84
8786,103/804
8787,52/58
8788,5/4
8789,93/681
8790,19/2
8791,32/7
8792,324/8
8793,9/59
8794,15/71
8795,608/861
8796,85/279
8797,106/17
8798,9/15
8799,5/83
8800,52/83
8801,94/19
8802,92/4
8803,53/3
8804,137/745
8805,334/64
8806,2/371
8807,52/969
8808,357/714
8809,30/284
8810,42/429
8811,87/14
8812,771/79
8813,9/547
8814,93/15
8815,39/33
8816,6/7
8817,479/74
8818,9/97
8819,76/8
8820,4/1
8821,374/333
8822,7/77
8823,357/9
8824,49/4
8825,99/18
8826,49/780
8827,8/760
8828,32/404
8829,68/7
8830,44/10
8831,89/86
8832,97/298
8833,54/76
8834,663/982
8835,375/47
8836,4/3
8837,16/66
8838,8/33
8839,1/68
8840,30/925
8841,62/2
8842,221/82
8843,1/1
8844,9/198
8845,2/86
8846,1/2
8847,1/32
8848,983/717
8849,677/3
8850,168/2
8851,25/39
8852,66/3
8853,24/216
8854,594/8
8855,1/8
8856,1/706
8857,95/49
8858,820/272
8859,38/35
8860,984/754
8861,1/588
8862,39/30
8863,6/3
8864,56/928
8865,151/911
8866,86/100
8867,918/81
8868,3/46
8869,88/79
8870,44/21
8871,8/7
8872,880/8
8873,38/8
8874,865/37
8875,625/842
8876,456/65
8877,14/3
8878,71/45
8879,281/461
8880,904/1
8881,4/8
8882,611/940
8883,956/576
8884,479/321
8885,93/31
8886,5/53
8887,26/717
8888,89/583
8889,223/516
8890,158/13
8891,692/2
8892,8/7
8893,15/22
8894,9/536
8895,86/3
8896,166/93
8897,900/2
8898,763/53
8899,203/8
8900,57/9
8901,1/492
8902,42/832
8903,8/675
8904,4/74
8905,737/31
8906,428/439
8907,2/76
8908,7/7
8909,8/94
8910,64/819
8911,1/980
8912,8/62
8913,7/61
8914,395/194
8915,6/4
8916,546/966
8917,7/4
8918,6/9
8919,1/3
8920,714/3
8921,935/110
8922,3/45
8923,99/676
8924,3/979
8925,28/28
8926,869/613
8927,41/4
8928,620/96
8929,719/3
8930,31/110
8931,6/54
8932,883/92
8933,690/5
8934,69/738
8935,56/6
8936,721/717
8937,93/3
8938,398/509
8939,72/948
8940,11/601
8941,79/58
8942,59/9
8943,571/5
8944,88/940
8945,983/99
8946,268/69
8947,91/2
8948,7/8
8949,60/4
8950,335/42
8951,380/618
8952,35/909
8953,4/91
8954,4/572
8955,954/9
8956,73/75
8957,7/155
8958,79/219
8959,65/644
8960,327/9
8961,376/41
8962,793/259
8963,8/237
8964,42/84
8965,25/7
8966,7/354
8967,787/2
8968,778/61
8969,468/44
8970,72/97
8971,4/88
8972,4/645
8973,5/5
8974,563/15
8975,1/6
8976,8/7
8977,68/9
8978,5/6
8979,21/27
8980,7/738
8981,30/64
8982,7/22
8983,164/2
8984,565/7
8985,4/8
8986,5/151
8987,2/70
8988,3/64
8989,7/94
8990,267/27
8991,98/818
8992,2/851
8993,1/868
8994,869/58
8995,5/2
8996,4/694
8997,570/834
8998,50/667
8999,12/56
9000,11/6
9001,2/535
9002,71/8
9003,665/40
9004,2/6
9005,90/659
9006,250/42
9007,305/87
9008,8/905
9009,11/6
9010,6/1
9011,6/5
9012,2/39
9013,2/77
9014,5/316
9015,7/3
9016,9/5
9017,24/825
9018,25/4
9019,213/8
9020,91/93
9021,318/2
9022,31/429
9023,996/242
9024,3/9
9025,169/2
9026,882/77
9027,15/752
9028,86/5
9029,403/229
9030,4/148
9031,10/9
9032,32/68
9033,2/78
9034,8/835
9035,468/133
9036,9/94
9037,7/1
9038,793/2
9039,325/13
9040,873/56
9041,59/53
9042,2/3
9043,252/694
9044,72/9
9045,5/774
9046,656/628
9047,11/57
9048,82/934
9049,723/52
9050,6/918
9051,718/197
9052,2/720
9053,5/31
9054,1/865
9055,2/160
9056,494/69
9057,473/9
9058,9/8
9059,682/93
9060,5/292
9061,4/572
9062,30/61
9063,950/242
9064,50/962
9065,77/90
9066,4/55
9067,78/744
9068,407/5
9069,712/474
9070,37/7
9071,835/8
9072,7/5
9073,6/368
9074,29/72
9075,76/7
9076,5/8
9077,143/570
9078,95/870
9079,83/6
9080,559/17
9081,1/31
9082,2/469
9083,926/26
9084,19/5
9085,2/55
9086,8/1
9087,900/10
9088,31/513
9089,8/251
9090,18/71
9091,9/263
9092,45/1
9093,187/4
9094,74/972
9095,9/49
9096,1/6
9097,118/78
9098,28/20
9099,782/8
9100,96/383
9101,27/4
9102,84/4
9103,43/701
9104,901/8
9105,61/295
9106,59/686
9107,29/748
9108,35/7
9109,2/377
9110,908/287
9111,384/9
9112,2/9
9113,88/400
9114,2/15
9115,888/582
9116,32/3
9117,3/12
9118,4/7
9119,978/9
9120,403/13
9121,21/468
9122,526/184
9123,74/885
9124,7/46
9125,28/157
9126,417/680
9127,60/29
9128,9/7
9129,409/7
9130,6/44
9131,970/79
9132,39/982
9133,859/9
9134,4/68
9135,411/8
9136,79/339
9137,339/224
9138,879/2
9139,67/85
9140,23/517
9141,320/8
9142,36/128
9143,375/54
9144,8/65
9145,91/5
9146,146/110
9147,133/4
9148,495/903
9149,6/50
9150,7/3
9151,528/4
9152,38/5
9153,67/426
9154,219/138
9155,8/8
9156,22/3
9157,5/48
9158,897/4
9159,9/340
9160,76/88
9161,52/71
9162,78/972
9163,4/39
9164,86/5
9165,376/41
9166,836/465
9167,48/7
9168,7/604
9169,6/80
9170,68/676
9171,10/25
9172,5/374
9173,59/178
9174,4/92
9175,3/5
9176,530/7
9177,2/33
9178,648/448
9179,4/3
9180,65/859
9181,58/8
9182,14/81
9183,5/599
9184,4/3
9185,84/95
9186,1/9
9187,862/545
9188,366/71
9189,95/792
9190,768/14
9191,762/37
9192,32/2
9193,198/1
9194,33/2
9195,93/4
9196,49/7
9197,72/197
9198,8/5
9199,909/87
9200,2/8
9201,7/472
9202,649/451
9203,8/13
9204,33/93
9205,509/1
9206,62/560
9207,2/4
9208,64/1
9209,691/884
9210,88/48
9211,321/143
9212,451/309
9213,5/83
9214,5/42
9215,711/530
9216,2/8
9217,208/4
9218,3/9
9219,5/88
9220,909/3
9221,1/47
9222,5/8
9223,4/174
9224,1/130
9225,748/30
9226,109/999
9227,98/1
9228,326/9
9229,79/464
9230,77/965
9231,875/658
9232,976/14
9233,56/969
9234,78/42
9235,683/82
9236,325/9
9237,179/1
9238,198/984
9239,779/47
9240,200/4
9241,414/75
9242,224/2
9243,756/41
9244,35/84
9245,84/51
9246,99/3
9247,96/9
9248,328/9
9249,8/336
9250,198/6
9251,271/13
9252,54/774
9253,5/854
9254,517/402
9255,475/2
9256,39/590
9257,283/4
9258,645/3
9259,4/8
9260,9/271
9261,238/7
9262,78/950
9263,5/6
9264,27/72
9265,4/393
9266,463/4
9267,153/7
9268,7/7
9269,2/1
9270,511/15
9271,1/4
9272,5/742
9273,6/68
9274,605/91
9275,48/6
9276,96/3
9277,29/93
9278,41/45
9279,897/5
9280,2/12
9281,22/22
9282,7/2
9283,842/38
9284,459/989
9285,67/85
9286,24/9
9287,149/577
9288,77/621
9289,9/80
9290,355/235
9291,67/51
9292,27/21
9293,22/25
9294,922/33
9295,8/2
9296,746/96
9297,63/481
9298,5/8
9299,65/9
9300,56/79
9301,1/33
9302,78/12
9303,860/3
9304,485/12
9305,808/402
9306,8/91
9307,4/60
9308,65/300
9309,507/353
9310,7/4
9311,231/58
9312,892/4
9313,861/895
9314,1/7
9315,8/8
9316,582/7
9317,42/867
9318,80/11
9319,2/86
9320,8/96
9321,746/3
9322,1/6
9323,651/71
9324,60/373
9325,4/3
9326,3/44
9327,8/178
9328,2/12
9329,84/6
9330,2/65
9331,79/889
9332,87/7
9333,560/65
9334,2/96
9335,5/3
9336,126/8
9337,97/96
9338,291/3
9339,525/258
9340,92/8
9341,2/88
9342,65/6
9343,6/3
9344,4/83
9345,2/53
9346,5/6
9347,231/25
9348,515/6
9349,9/6
9350,158/292
9351,2/224
9352,81/9
9353,596/719
9354,293/9
9355,897/5
9356,373/68
9357,323/6
9358,9/71
9359,8/4
9360,46/889
9361,17/38
9362,92/6
9363,1/4
9364,87/3
9365,5/48
9366,59/18
9367,634/916
9368,10/7
9369,12/5
9370,43/58
9371,13/41
9372,4/141
9373,639/3
9374,9/73
9375,990/25
9376,66/97
9377,7/32
9378,75/61
9379,52/9
9380,641/93
9381,7/621
9382,797/75
9383,408/3
9384,99/4
9385,299/9
9386,37/3
9387,9/514
9388,266/31
9389,840/514
9390,52/499
9391,11/42
9392,6/62
9393,701/628
9394,890/2
9395,475/92
9396,7/92
9397,83/96
9398,6/144
9399,68/47
9400,839/2
9401,434/16
9402,4/4
9403,867/640
9404,492/3
9405,3/9
9406,529/203
9407,359/4
9408,116/502
9409,91/54
9410,8/782
9411,6/8
9412,8/3
9413,58/818
9414,877/285
9415,460/6
9416,5/1
9417,345/5
9418,93/996
9419,949/267
9420,88/4
9421,569/790
9422,40/94
9423,78/249
9424,89/76
9425,9/206
9426,6/8
9427,994/3
9428,784/295
9429,465/1
9430,214/354
9431,70/272
9432,29/9
9433,500/604
9434,451/33
9435,92/17
9436,309/9
9437,508/575
9438,59/766
9439,69/4
9440,9/6
9441,32/87
9442,49/109
9443,4/622
9444,297/495
9445,348/5
9446,7/53
9447,8/290
9448,8/140
9449,380/3
9450,386/48
9451,14/641
9452,95/31
9453,64/89
9454,8/89
9455,1/169
9456,21/561
9457,76/87
9458,332/3
9459,134/168
9460,2/18
9461,629/554
9462,616/802
9463,489/4
9464,377/79
9465,957/963
9466,58/835
9467,683/4
9468,85/7
9469,3/199
9470,14/437
9471,3/9
9472,523/509
9473,47/5
9474,26/10
9475,926/4
9476,94/7
9477,7/26
9478,76/9
9479,4/28
9480,4/3
9481,90/8
9482,3/21
9483,33/22
9484,1/39
9485,7/8
9486,81/25
9487,92/33
9488,377/3
9489,447/96
9490,38/739
9491,534/870
9492,51/179
9493,5/116
9494,812/948
9495,647/1
9496,22/887
9497,993/98
9498,9/780
9499,46/3
9500,1/8
9501,242/2
9502,76/39
9503,62/744
9504,79/129
9505,117/42
9506,270/521
9507,4/799
9508,38/3
9509,7/16
9510,3/2
9511,39/48
9512,77/43
9513,696/9
9514,76/1
9515,70/359
9516,34/69
9517,6/574
9518,8/7
9519,90/33
9520,6/53
9521,70/36
9522,3/3
9523,889/184
9524,42/938
9525,2/79
9526,3/7
9527,9/20
9528,9/471
9529,56/169
9530,81/6
9531,29/29
9532,35/8
9533,2/270
9534,7/889
9535,773/296
9536,99/1
9537,3/27
9538,37/54
9539,991/8
9540,5/721
9541,98/9
9542,217/9
9543,196/893
9544,16/9
9545,5/599
9546,94/42
9547,26/787
9548,640/929
9549,56/5
9550,8/62
9551,2/2
9552,6/6
9553,86/91
9554,1/445
9555,5/61
9556,29/8
9557,5/98
9558,3/588
9559,1/7
9560,90/16
9561,7/5
9562,7/9
9563,75/2
9564,897/73
9565,2/381
9566,813/50
9567,9/52
9568,9/402
9569,158/28
9570,3/9
9571,4/105
9572,1/27
9573,86/3
9574,5/16
9575,42/1
9576,49/384
9577,960/36
9578,31/691
9579,7/102
9580,738/875
9581,8/18
9582,588/11
9583,303/195
9584,53/8
9585,996/18
9586,938/58
9587,7/123
9588,525/7
9589,462/3
9590,497/7
9591,7/9
9592,338/39
9593,353/64
9594,4/665
9595,7/730
9596,6/861
9597,64/4
9598,847/4
9599,138/50
9600,628/2
9601,13/575
9602,3/532
9603,595/991
9604,62/6
9605,9/58
9606,8/609
9607,738/4
9608,41/314
9609,103/51
9610,7/912
9611,7/48
9612,9/43
9613,939/74
9614,74/854
9615,82/484
9616,70/7
9617,858/632
9618,4/108
9619,1/6
9620,776/411
9621,7/4
9622,8/3
9623,57/88
9624,184/1
9625,377/36
9626,439/204
9627,521/61
9628,2/412
9629,1/62
9630,50/2
9631,6/251
9632,8/834
9633,539/59
9634,999/4
9635,52/34
9636,4/1
9637,132/4
9638,5/13
9639,563/8
9640,23/151
9641,753/68
9642,2/359
9643,8/4
9644,13/87
9645,719/30
9646,5/635
9647,36/538
9648,8/2
9649,721/533
9650,127/563
9651,9/31
9652,852/76
9653,248/30
9654,8/3
9655,2/46
9656,984/905
9657,46/99
9658,61/2
9659,919/37
9660,99/6
9661,43/797
9662,126/170
9663,12/7
9664,456/21
9665,1/1
9666,82/793
9667,940/904
9668,430/6
9669,71/81
9670,398/66
9671,125/45
9672,686/34
9673,7/1
9674,88/49
9675,4/19
9676,23/6
9677,165/8
9678,416/1
9679,73/228
9680,25/9
9681,81/5
9682,96/8
9683,268/539
9684,46/659
9685,48/98
9686,744/50
9687,2/266
9688,9/2
9689,11/44
9690,888/72
9691,37/8
9692,8/129
9693,714/968
9694,22/278
9695,185/2
9696,420/12
9697,119/786
9698,8/82
9699,525/19
9700,57/352
9701,565/366
9702,20/2
9703,27/3
9704,6/5
9705,36/49
9706,718/472
9707,3/596
9708,540/81
9709,952/86
9710,202/977
9711,9/3
9712,218/419
9713,8/461
9714,2/4
9715,2/7
9716,85/2
9717,61/646
9718,40/9
9719,4/926
9720,9/11
9721,3/30
9722,99/996
9723,29/48
9724,49/95
9725,6/1
9726,563/677
9727,800/290
9728,263/1
9729,8/6
9730,4/6
9731,372/635
9732,9/49
9733,980/4
9734,1/376
9735,594/6
9736,38/850
9737,491/30
9738,1/62
9739,83/7
9740,6/85
9741,6/818
9742,978/9
9743,61/63
9744,72/95
9745,353/85
9746,2/84
9747,114/614
9748,4/69
9749,823/8
9750,784/38
9751,34/86
9752,39/9
9753,808/551
9754,67/51
9755,59/33
9756,82/3
9757,1/6
9758,9/2
9759,308/788
9760,814/658
9761,322/427
9762,6/644
9763,58/46
9764,9/25
9765,52/186
9766,924/52
9767,97/77
9768,3/82
9769,1/63
9770,4/92
9771,382/32
9772,892/877
9773,64/70
9774,2/792
9775,8/2
9776,29/37
9777,62/299
9778,985/200
9779,77/60
9780,96/80
9781,4/692
9782,86/417
9783,665/81
9784,2/5
9785,14/45
9786,881/54
9787,49/689
9788,70/3
9789,28/9
9790,924/603
9791,2/93
9792,43/336
9793,4/72
9794,40/643
9795,433/93
9796,81/7
9797,93/841
9798,9/1
9799,88/857
9800,77/2
9801,27/708
9802,56/6
9803,895/963
9804,827/1
9805,280/8
9806,318/454
9807,64/61
9808,874/6
9809,74/622
9810,5/67
9811,13/1
9812,4/5
9813,3/3
9814,2/84
9815,973/8
9816,2/5
9817,97/378
9818,453/185
9819,5/6
9820,9/119
9821,1/14
9822,603/6
9823,243/408
9824,89/14
9825,57/610
9826,36/53
9827,45/6
9828,5/30
9829,809/36
9830,8/93
9831,87/77
9832,385/4
9833,196/653
9834,73/7
9835,19/7
9836,914/800
9837,312/703
9838,230/315
9839,3/6
9840,8/87
9841,12/84
9842,41/253
9843,3/7
9844,50/1
9845,94/870
9846,9/1
9847,422/20
9848,863/875
9849,4/37
9850,84/4
9851,6/58
9852,9/57
9853,45/4
9854,198/37
9855,2/523
9856,39/7
9857,5/2
9858,2/201
9859,2/3
9860,50/2
9861,510/744
9862,547/5
9863,634/5
9864,82/98
9865,6/282
9866,5/1
9867,769/59
9868,79/3
9869,8/483
9870,585/294
9871,9/126
9872,414/2
9873,3/445
9874,435/538
9875,694/27
9876,303/7
9877,45/655
9878,9/8
9879,589/8
9880,2/86
9881,25/768
9882,997/6
9883,27/13
9884,775/2
9885,6/3
9886,2/428
9887,2/795
9888,187/6
9889,9/885
9890,58/807
9891,8/58
9892,597/891
9893,92/103
9894,12/5
9895,11/71
9896,75/291
9897,1/703
9898,6/8
9899,90/92
9900,99/4
9901,144/94
9902,23/79
9903,4/46
9904,4/284
9905,6/52
9906,6/5
9907,5/6
9908,79/6
9909,838/29
9910,9/10
9911,7/32
9912,7/47
9913,19/2
9914,37/45
9915,1/235
9916,629/53
9917,31/52
9918,230/185
9919,3/52
9920,502/911
9921,2/8
9922,191/90
9923,994/272
9924,10/8
9925,89/34
9926,343/62
9927,8/70
9928,52/8
9929,16/2
9930,9/4
9931,631/742
9932,85/878
9933,4/13
9934,804/59
9935,40/235
9936,1/65
9937,5/7
9938,291/56
9939,5/204
9940,6/8
9941,88/4
9942,58/916
9943,5/122
9944,952/8
9945,64/1
9946,3/1
9947,4/24
9948,6/6
9949,61/3
9950,17/866
9951,672/4
9952,388/506
9953,9/2
9954,29/382
9955,42/7
9956,326/4
9957,7/58
9958,2/1
9959,5/689
9960,5/192
9961,2/747
9962,334/879
9963,272/45
9964,615/54
9965,9/57
9966,80/220
9967,5/7
9968,875/138
9969,3/93
9970,509/2
9971,771/1
9972,160/7
9973,6/2
9974,18/52
9975,17/5
9976,547/7
9977,7/9
9978,7/35
9979,1/4
9980,8/5
9981,344/402
9982,6/8
9983,780/62
9984,11/19
9985,24/387
9986,3/88
9987,56/118
9988,8/11
9989,714/2
9990,978/1
9991,24/42
9992,1/55
9993,86/3
9994,533/3
9995,75/8
9996,9/2
9997,968/1
9998,35/97
9999,97/4
10000,445/6
10001,902/291
10002,524/5
10003,6/5
10004,2/36
10005,441/718
10006,89/693
10007,82/33
10008,97/673
10009,84/5
10010,7/94
10011,14/26
10012,79/3
10013,7/932
10014,3/5
10015,824/969
10016,37/2
10017,4/2
10018,61/3
10019,987/8
10020,78/9
10021,45/97
10022,95/7
10023,8/31
10024,94/88
10025,8/3
10026,57/57
10027,9/756
10028,88/603
10029,56/4
10030,90/178
10031,49/54
10032,3/3
10033,540/9
10034,782/1
10035,646/21
10036,75/25
10037,22/756
10038,4/3
10039,6/68
10040,3/26
10041,9/616
10042,227/543
10043,6/485
10044,95/203
10045,86/2
10046,453/228
10047,79/3
10048,4/79
10049,34/7
10050,77/274
10051,398/93
10052,17/733
10053,7/32
